date,total_events,avg_goldstein,protest_events,conflict_events,govt_events
2015-05-22,65351,0.5084084405747421,1535,4222,6927
2015-05-23,39155,0.34755203677691215,865,2825,3963
2015-05-24,35277,0.44983700428040951,931,2818,4160
2015-05-25,38349,0.60855824141437842,852,2837,4235
2015-05-26,58380,0.59826139088729,1189,4044,6469
2015-05-27,64404,0.617680578846035,1426,3877,6812
2015-05-28,66139,0.65175995645468532,1405,3575,7044
2015-05-29,62672,0.61457748276742441,1354,3774,6759
2015-05-30,39299,0.47073207969668457,1020,2496,4135
2015-05-31,35529,0.60062202707647327,787,2336,3630
2015-06-01,54581,0.6452226965427531,1187,3326,5720
2015-06-02,61172,0.64186555940626389,1299,3591,6576
2015-06-03,65600,0.56540091463414566,1356,4148,6930
2015-06-04,64769,0.62040019144961311,1252,4022,6890
2015-06-05,61827,0.6311999611820075,1159,3567,6333
2015-06-06,36339,0.49194254107157576,774,2414,3689
2015-06-07,33355,0.69883375805726311,637,2151,3358
2015-06-08,55935,0.57489049789934732,1300,3717,5848
2015-06-09,65632,0.50957155046318836,1535,4323,7244
2015-06-10,69080,0.58360451650260547,1521,4346,7366
2015-06-11,67109,0.60037550850109545,1501,3975,7156
2015-06-12,63665,0.56862483311081424,1347,3852,6904
2015-06-13,40509,0.446162581154805,840,2848,4389
2015-06-14,35667,0.44125662376987107,747,2947,3878
2015-06-15,56699,0.42352422441312865,1328,4204,6252
2015-06-16,65823,0.47561490664357475,1525,4506,7255
2015-06-17,65747,0.502926369263997,1445,4290,7125
2015-06-18,74838,0.25117320078035221,1482,6689,7912
2015-06-19,66761,0.16964545168586459,1350,6288,6586
2015-06-20,39742,0.072998339288410208,831,3854,3864
2015-06-21,35885,0.31137522641772319,695,3345,3437
2015-06-22,59424,0.44371970920840059,1246,4817,6342
2015-06-23,67809,0.40717751330944291,1388,5220,7048
2015-06-24,72866,0.33920895891087771,1734,5704,7500
2015-06-25,71751,0.41506041727641413,1792,5081,7249
2015-06-26,71437,0.40803925136833852,1437,5209,7991
2015-06-27,44600,0.35475336322869927,900,3505,5022
2015-06-28,36551,0.461650844026155,711,2898,4126
2015-06-29,60234,0.41442042700136145,1331,4544,6442
2015-06-30,67324,0.52385627710771732,1478,4297,7202
2015-07-01,69354,0.61781151772067977,1411,4110,7441
