date,total_mentions,avg_tone
2021-12-20,343180,-1.9855145136472852
2021-12-21,386665,-2.0222766819057032
2021-12-22,369718,-2.0287671954875242
2021-12-23,379202,-2.3573321955065092
2021-12-24,296267,-2.154284073395428
2021-12-25,188153,-2.0661862415593935
2021-12-26,188149,-1.940876293299187
2021-12-27,265940,-2.0033912290680425
2021-12-28,336543,-2.5018309641748964
2021-12-29,327346,-2.4828052351367527
2021-12-30,359587,-2.3201873017931951
2021-12-31,285506,-2.2062841853871595
2022-01-01,182901,-1.9060456951341167
2022-01-02,194321,-2.6901732054675911
2022-01-03,302709,-2.3203718052432531
2022-01-04,347891,-2.4925925588559688
2022-01-05,382838,-2.4069881519131888
2022-01-06,404522,-2.575050270057182
2022-01-07,404967,-2.427878067958599
2022-01-08,255505,-2.8893609455411737
2022-01-09,233340,-2.5747098831245925
2022-01-10,374439,-2.3637575003605065
2022-01-11,396909,-2.0728393940981467
2022-01-12,419237,-2.1581495883418444
2022-01-13,436543,-2.39762935011464
2022-01-14,417123,-2.3933625023052967
2022-01-15,271141,-2.4929424598479284
2022-01-16,257491,-2.9173501467267022
2022-01-17,368193,-2.31464078469898
2022-01-18,439056,-2.2086502610172927
2022-01-19,480532,-2.2267419340738117
2022-01-20,495900,-2.444776371645661
2022-01-21,450789,-2.3921501479652405
2022-01-22,321660,-2.5163943755404437
2022-01-23,276304,-2.5829015508361288
2022-01-24,441357,-2.4843774099552811
2022-01-25,457000,-2.2721339164143357
2022-01-26,480491,-2.2928456861156108
2022-01-27,471324,-2.0230122713502157
2022-01-28,451024,-2.3560389484517037
2022-01-29,275170,-2.3064936659199442
2022-01-30,274197,-2.4033831035560071
2022-01-31,386499,-2.4754241046710344
2022-02-01,470968,-2.362606303093727
2022-02-02,459155,-2.1701789808308241
2022-02-03,464648,-2.2984020559185221
2022-02-04,416365,-2.3278914838820408
2022-02-05,299562,-2.1437675314442566
2022-02-06,265519,-1.938536120354992
2022-02-07,437382,-2.0483212139022537
2022-02-08,470389,-2.1654871494178169
2022-02-09,456188,-1.959397569853685
2022-02-10,488473,-2.1737821125072658
2022-02-11,472498,-2.303150555743346
2022-02-12,400983,-2.7234512580289278
2022-02-13,309235,-2.7855362456340687
2022-02-14,451249,-2.3238739000479631
2022-02-15,513251,-2.3810741044983
2022-02-16,482493,-2.1653695454230046
2022-02-17,518512,-2.4742449189931892
2022-02-18,497658,-2.9953975809849309
2022-02-19,357227,-3.2667151306588704
2022-02-20,298685,-2.7991390298591514
2022-02-21,472735,-2.7133913992014387
2022-02-22,624086,-2.8582267736203506
2022-02-23,554049,-2.7561159380796569
2022-02-24,808850,-3.5253927685457969
2022-02-25,794062,-3.0994129773123138
2022-02-26,619478,-3.1681304631781089
2022-02-27,522002,-2.9050292666102706
2022-02-28,577495,-2.5342328145658075
2022-03-01,592403,-2.5873970973850713
2022-03-02,621035,-2.6467194475932252
2022-03-03,606568,-2.6433014374671244
2022-03-04,571293,-2.9573482347766817
2022-03-05,503413,-3.2385762732497478
2022-03-06,519204,-3.2591893609351303
2022-03-07,579782,-2.6862041015191518
2022-03-08,591817,-2.6366367089366278
2022-03-09,620134,-2.3802894186331853
2022-03-10,605832,-2.6134780362406791
2022-03-11,563294,-2.7870896113660169
2022-03-12,433551,-3.1505481075565047
2022-03-13,389427,-2.9394196110227382
2022-03-14,554796,-2.64596417349073
2022-03-15,607479,-2.706832474473567
2022-03-16,579258,-2.2584214130350873
2022-03-17,590059,-2.5346692758357428
2022-03-18,502177,-2.5462562202482775
2022-03-19,351615,-2.552480890097637
2022-03-20,328339,-2.6624001890558113
2022-03-21,528805,-2.7246018476800375
2022-03-22,534046,-2.6746529019527734
2022-03-23,547440,-2.3959096550620176
2022-03-24,572801,-2.2174809035843031
2022-03-25,527132,-2.302169114579895
2022-03-26,360156,-2.2706290575517873
2022-03-27,319772,-2.3565467471270223
2022-03-28,507485,-2.082632234688389
2022-03-29,575973,-2.35047279626193
2022-03-30,538447,-2.3396107187673207
2022-03-31,532605,-2.1117587552625725
2022-04-01,511106,-2.2113262314471562
2022-04-02,389031,-2.7512416096660353
2022-04-03,325494,-2.9789293337723497
2022-04-04,469992,-3.1941288593004047
2022-04-05,511574,-2.9773433366978859
2022-04-06,516792,-2.9641379067994396
2022-04-07,521699,-2.6090069188846523
2022-04-08,474710,-2.8882818516490079
2022-04-09,347958,-2.8990059552024112
2022-04-10,290675,-2.92135368757645
2022-04-11,448379,-2.6131573004789854
2022-04-12,489101,-2.8379197725104985
2022-04-13,502851,-3.1367585087513095
2022-04-14,500293,-3.0836548273755695
2022-04-15,417230,-3.0678088231825518
2022-04-16,307618,-3.1627867916911057
2022-04-17,280858,-3.1870192133674506
2022-04-18,389857,-3.1295545185514237
2022-04-19,474216,-2.6366040699444855
2022-04-20,479557,-2.4380456431728952
2022-04-21,499944,-2.3813709774586758
2022-04-22,475231,-2.5517379369230637
2022-04-23,312474,-2.4566881795405635
2022-04-24,303202,-2.3823166676070717
2022-04-25,477777,-2.0139614625907187
2022-04-26,541631,-2.3760578228281171
2022-04-27,503992,-2.3204277954903589
2022-04-28,496306,-2.5245059475242821
2022-04-29,461605,-2.4765199372783986
2022-04-30,324352,-3.0757848357365041
2022-05-01,312011,-2.1959167610024179
2022-05-02,411010,-2.3837809447410985
2022-05-03,463836,-2.2898844829531622
2022-05-04,484903,-2.224985900306502
2022-05-05,474637,-2.35856147951776
2022-05-06,478889,-2.4543562121775446
2022-05-07,298375,-2.3554606198327193
2022-05-08,363669,-2.3959479659476748
2022-05-09,454408,-2.259437164223848
2022-05-10,482344,-2.3956003199660318
2022-05-11,502894,-2.5300964191886317
2022-05-12,477754,-2.2581182582616344
2022-05-13,480721,-2.5018826819109354
2022-05-14,319607,-2.6949939017842186
2022-05-15,343484,-2.6622226806568112
2022-05-16,480044,-2.2873741178042737
2022-05-17,507645,-2.346624757781278
2022-05-18,520554,-2.2904230173035018
2022-05-19,491879,-2.2322968016378315
2022-05-20,422269,-2.1352276127626939
2022-05-21,294765,-2.1819716115413637
2022-05-22,285880,-2.0152633543616969
2022-05-23,445812,-2.3052071797989058
2022-05-24,493678,-2.3722828961943634
2022-05-25,542038,-2.8690214264777985
2022-05-26,478248,-2.3334175169731486
2022-05-27,440792,-2.5108369577816516
2022-05-28,300761,-2.53745650813157
2022-05-29,273320,-2.2691571541261832
2022-05-30,383888,-2.252289239288074
2022-05-31,423952,-2.1319882401006516
2022-06-01,459703,-2.0829339590435496
2022-06-02,471820,-1.9706303195786823
2022-06-03,415236,-2.0961365819120554
2022-06-04,274349,-2.2358506411079806
2022-06-05,229056,-2.1318012801844781
2022-06-06,398946,-2.1402222324259439
2022-06-07,431913,-2.2066330441474276
2022-06-08,452032,-2.129928125633497
2022-06-09,442270,-2.3573872599483532
2022-06-10,445618,-2.3088781146081061
2022-06-11,287581,-2.5364202671976881
2022-06-12,249954,-2.1308618619761357
2022-06-13,384732,-2.2890374775868123
2022-06-14,427523,-2.0361157865608295
2022-06-15,442794,-1.8437581796448335
2022-06-16,471404,-2.0833389831704037
2022-06-17,441115,-2.2478893949947749
2022-06-18,253170,-2.2172850135027393
2022-06-19,232251,-1.9590755440398542
2022-06-20,341325,-1.7228189365110622
2022-06-21,398928,-1.939764709034397
2022-06-22,428630,-2.1837827549740396
2022-06-23,421796,-1.9999373545693375
2022-06-24,481154,-2.4499778074910821
2022-06-25,325993,-2.9074235626298957
2022-06-26,264021,-2.2097585031634512
2022-06-27,409293,-2.0865617931337734
2022-06-28,503499,-2.6075693335609635
2022-06-29,498489,-2.2483985496618013
2022-06-30,457681,-2.0874825889749444
2022-07-01,380794,-2.21666180624226
2022-07-02,242178,-2.5256234405447642
2022-07-03,234745,-2.5044443825015938
2022-07-04,330090,-2.5379517515242629
2022-07-05,385721,-2.2732242206471103
2022-07-06,412899,-2.6050090205267145
2022-07-07,421717,-2.3788689267762577
2022-07-08,439383,-2.4652319020346618
2022-07-09,272679,-2.5669778901992726
2022-07-10,237436,-2.3948713936295229
2022-07-11,351542,-2.3039484661063452
2022-07-12,400976,-2.0926700052254574
2022-07-13,439853,-2.2737962802657541
2022-07-14,442430,-2.2799794219552632
2022-07-15,439848,-2.1220460093170361
2022-07-16,287290,-2.3961340602375283
2022-07-17,217084,-2.4106650880461573
2022-07-18,360366,-2.480170077212752
2022-07-19,400243,-2.1583078849039383
2022-07-20,400925,-2.0102987209460808
2022-07-21,416034,-2.202951181205369
2022-07-22,419035,-2.4871923864980019
2022-07-23,261953,-2.5573155599280466
2022-07-24,260449,-2.3966597333574713
2022-07-25,354481,-1.9171830344314971
2022-07-26,387263,-2.1050337703423905
2022-07-27,390153,-2.1109126495327537
2022-07-28,393307,-2.18297951080936
2022-07-29,355413,-2.251628055814439
2022-07-30,238346,-2.7677466498878407
2022-07-31,202681,-2.3508655533146152
2022-08-01,353110,-2.0248811751017533
2022-08-02,480866,-2.6165288993878066
2022-08-03,445616,-2.3203328216834418
2022-08-04,438301,-2.3969036293756387
2022-08-05,438498,-2.8619470366983006
2022-08-06,301690,-3.3407792645643775
2022-08-07,291334,-4.0814020658274881
2022-08-08,391055,-3.1860322141142028
2022-08-09,394120,-2.6504272423364039
2022-08-10,403221,-2.5361272049665669
2022-08-11,375430,-2.7337392521988408
2022-08-12,352062,-2.3895329945679773
2022-08-13,237216,-2.7495269514799432
2022-08-14,208287,-2.8607197360343948
2022-08-15,321490,-1.9796316935559493
2022-08-16,355688,-2.2175058138545172
2022-08-17,374290,-2.3142334151076347
2022-08-18,385999,-2.4662943371904449
2022-08-19,346690,-2.4147165725759439
2022-08-20,234221,-2.6454886441113623
2022-08-21,206100,-2.4948258644456507
2022-08-22,339789,-2.2567615601929871
2022-08-23,373270,-2.6120411647701123
2022-08-24,388484,-2.0998786586520954
2022-08-25,378254,-2.2767923260080067
2022-08-26,362131,-2.1469496824278314
2022-08-27,229586,-2.1893792953532816
2022-08-28,201833,-2.3264431990095682
2022-08-29,325883,-2.193169547261872
2022-08-30,378543,-2.4183286217520226
2022-08-31,380530,-1.8459295327196668
