date,total_articles,avg_tone
2017-09-29,598159,-0.904051738926024
2017-09-30,384485,-0.88488207495319382
2017-10-01,348488,-0.9510329766437261
2017-10-02,580939,-1.3769188491665829
2017-10-03,651793,-1.159330864084575
2017-10-04,587174,-1.0291651782030653
2017-10-05,656153,-0.93573679780107522
2017-10-06,575420,-0.9748527028869558
2017-10-07,415833,-1.0965709894449169
2017-10-08,388063,-1.0498831084937559
2017-10-09,641633,-0.8401572907078757
2017-10-10,633801,-1.0094348349804014
2017-10-11,667665,-0.98249310267354473
2017-10-12,688245,-0.93497717331004992
2017-10-13,661942,-0.96303303442420463
2017-10-14,415573,-1.0529753489699454
2017-10-15,404869,-1.0480833785058783
2017-10-16,601852,-1.1313090517251567
2017-10-17,719402,-1.0573332098507604
2017-10-18,639994,-0.972168231915225
2017-10-19,700352,-0.91875957250301721
2017-10-20,703886,-1.0161268095505982
2017-10-21,423534,-1.2394390069032293
2017-10-22,426986,-0.92727384448495354
2017-10-23,687546,-0.92969521294258706
2017-10-24,699286,-0.88511456575033121
2017-10-25,699152,-0.85750106736861442
2017-10-26,748595,-0.89766346701444366
2017-10-27,660043,-0.86198927427386973
2017-10-28,429195,-1.005270344694825
2017-10-29,402470,-1.0362859513444103
2017-10-30,639902,-0.9666819729965902
2017-10-31,714069,-1.0949741108925994
2017-11-01,705603,-1.1352195287446705
2017-11-02,680649,-1.1099178899511961
2017-11-03,696758,-1.1216702317813338
2017-11-04,424843,-1.1171601796409729
2017-11-05,393255,-1.2184725122209303
2017-11-06,657929,-1.0930811701576193
2017-11-07,733577,-1.0419351825170473
2017-11-08,698954,-0.86569272072717041
2017-11-09,724078,-0.86148706397884989
2017-11-10,684233,-0.88587137288206741
2017-11-11,426749,-0.85816342484926311
2017-11-12,402292,-0.87022759483868528
2017-11-13,673066,-0.89483275068994561
2017-11-14,730449,-0.90983581609454756
2017-11-15,737628,-0.90061177885950083
2017-11-16,626092,-0.89391439091496816
2017-11-17,672367,-0.92602697077814344
2017-11-18,406855,-0.90720224001693794
2017-11-19,386588,-0.8509517308840906
2017-11-20,644099,-0.827014409559499
2017-11-21,719406,-0.90145919257234131
2017-11-22,667079,-0.97289179390728253
2017-11-23,572979,-0.79146629329792562
2017-11-24,594491,-0.9798840253213178
2017-11-25,376547,-1.182488426300734
2017-11-26,377487,-1.066395167897908
2017-11-27,592345,-0.71747420312927057
2017-11-28,706605,-0.78521039718868169
2017-11-29,721343,-0.94890935990981018
2017-11-30,696758,-0.88724252005029647
2017-12-01,634209,-0.8661107295268119
2017-12-02,432236,-0.93390886255470162
2017-12-03,347532,-0.98440222878206551
2017-12-04,603840,-0.7624903855702212
2017-12-05,662886,-0.89853083986944227
2017-12-06,669094,-0.82119830632776913
2017-12-07,682878,-0.81456942379362951
2017-12-08,645343,-0.766571076107147
2017-12-09,392702,-0.9224794106603128
2017-12-10,386041,-0.86528388620452878
2017-12-11,556119,-0.83687473370453058
2017-12-12,668426,-0.90073975509281468
2017-12-13,704141,-0.76308211241758017
2017-12-14,680273,-0.826683550177687
2017-12-15,611220,-0.80956324315937866
2017-12-16,366331,-0.84210428850523733
2017-12-17,354372,-0.91791593788115144
2017-12-18,566426,-0.86453473493030142
2017-12-19,618096,-0.90891125674276529
2017-12-20,611544,-0.89844465420432285
2017-12-21,631370,-0.87265367215429734
2017-12-22,574958,-0.81600794469213356
2017-12-23,402844,-0.93337860226452229
2017-12-24,351541,-0.82157144856343012
2017-12-25,344157,-0.74848682226053587
2017-12-26,440947,-0.88936162355718762
2017-12-27,513933,-0.97085511769871635
2017-12-28,556459,-1.0891021421679676
2017-12-29,524027,-1.0769848272920926
2017-12-30,360521,-1.1505532009633592
2017-12-31,321361,-0.94270210090334172
2018-01-01,368654,-0.98667916493126828
2018-01-02,508097,-1.1139182897260735
2018-01-03,623867,-1.1142993752128261
2018-01-04,604598,-1.1450481876736902
2018-01-05,563130,-1.0806084599754506
2018-01-06,435315,-0.93311813868529814
2018-01-07,368679,-0.915518561126276
2018-01-08,648522,-0.70176137813845374
2018-01-09,675702,-0.91010108337580731
2018-01-10,684220,-0.9175680214729639
2018-01-11,693279,-0.99592489702561815
2018-01-12,637858,-0.92767550253321518
2018-01-13,417438,-1.104791448983633
2018-01-14,377888,-1.0899687550675004
2018-01-15,582514,-1.1031677981564163
2018-01-16,665096,-1.0904062688037304
2018-01-17,667605,-1.0154057035765121
2018-01-18,619559,-0.95392614264433562
2018-01-19,665580,-1.0275154000799289
2018-01-20,405933,-1.098892755708099
2018-01-21,405425,-1.0311413224938653
2018-01-22,570160,-0.891456490166995
2018-01-23,675946,-0.93325477956272762
2018-01-24,637541,-0.99071104428065926
2018-01-25,625676,-0.90084081160479668
2018-01-26,649025,-0.96042690041739009
2018-01-27,430858,-1.1570392550538451
2018-01-28,399549,-0.99965676221214661
2018-01-29,578190,-0.76566177387965861
2018-01-30,639388,-0.95120708999049208
2018-01-31,664702,-0.91537993891007119
2018-02-01,694544,-0.89189045366947151
2018-02-02,663266,-1.0213555572153639
2018-02-03,420892,-1.1934606419494453
2018-02-04,396151,-1.0647730820633916
2018-02-05,670217,-0.92576422964152882
2018-02-06,701249,-1.0934216720757228
2018-02-07,717315,-0.87861401331279743
2018-02-08,644564,-0.88704944840957589
2018-02-09,640505,-0.88999100309659651
2018-02-10,445884,-1.0220193046049559
2018-02-11,403012,-0.9687710921020134
2018-02-12,594002,-0.93010778132362126
2018-02-13,611180,-0.90345226626555153
2018-02-14,613707,-0.7865400779118441
2018-02-15,625865,-1.0604752041450647
2018-02-16,584165,-1.054823644439689
2018-02-17,434163,-1.1265290204165035
2018-02-18,393079,-1.0197360248602816
2018-02-19,549085,-1.0167385015750119
2018-02-20,693606,-1.0427843278139277
2018-02-21,654366,-1.0062463042808885
2018-02-22,675630,-0.97300670430095348
2018-02-23,621223,-1.0457921893582711
2018-02-24,471295,-1.0729822385730603
2018-02-25,399143,-0.902597636555753
2018-02-26,629821,-0.95709204530376812
2018-02-27,598184,-0.99644101057338386
2018-02-28,684483,-0.95247912104267618
2018-03-01,724989,-0.87404561560590754
2018-03-02,665134,-1.0633947053884534
2018-03-03,421633,-1.1016341066373851
2018-03-04,327764,-0.83636032963393336
2018-03-05,674169,-0.5621815835538857
2018-03-06,704556,-0.87910298237388818
2018-03-07,728064,-0.93112540207512662
2018-03-08,632720,-0.807541440436889
2018-03-09,665470,-0.85775809923962376
2018-03-10,449993,-0.94921093809900325
2018-03-11,391333,-0.87983286604872368
2018-03-12,642153,-0.9221751143304685
2018-03-13,596475,-1.0733128195360724
2018-03-14,702154,-0.92607058691580191
2018-03-15,663239,-1.011130028387182
2018-03-16,676918,-1.0383245025854853
2018-03-17,403911,-1.044188558748236
2018-03-18,378276,-0.91290962191915914
2018-03-19,669302,-0.9358935560902566
2018-03-20,650364,-1.0262564019046589
2018-03-21,661009,-0.99773032572147413
2018-03-22,686885,-0.99756670613054277
2018-03-23,629301,-1.025560859814528
2018-03-24,408971,-1.0921481858630924
2018-03-25,373619,-1.0226459480960366
2018-03-26,612544,-1.0402457184990912
2018-03-27,665992,-0.9921756113255884
2018-03-28,709381,-0.94544471992479828
2018-03-29,685204,-1.0220622457046484
2018-03-30,536505,-1.1374242272454136
2018-03-31,386493,-1.069504083773583
2018-04-01,325072,-1.0632289183401176
2018-04-02,574663,-1.0190650250304103
2018-04-03,666162,-0.99422024778969942
2018-04-04,622557,-0.99978866247363218
2018-04-05,654822,-1.0404585378759845
2018-04-06,596411,-1.13988448279148
2018-04-07,388189,-1.1292748496163336
2018-04-08,379158,-1.0757386962728195
2018-04-09,585293,-1.0597839365745361
2018-04-10,712898,-1.0293362062561051
2018-04-11,667520,-1.0876233820077217
2018-04-12,699199,-1.0346435921338117
2018-04-13,587996,-1.0800394196220824
2018-04-14,435042,-1.3632364178240743
2018-04-15,373333,-1.0657791028784547
2018-04-16,601103,-0.98463828302507006
2018-04-17,668069,-0.97297973740012411
2018-04-18,726225,-0.8537030276172044
2018-04-19,737932,-0.78908978435889077
2018-04-20,601977,-0.92138510895742132
2018-04-21,437591,-0.91170895081477643
2018-04-22,394904,-0.92110371238664213
2018-04-23,586707,-0.81726230110897724
2018-04-24,700687,-0.86651992622704788
2018-04-25,611496,-0.91248753690052
2018-04-26,595805,-0.877005583435267
2018-04-27,638441,-0.7400516269567089
2018-04-28,424922,-0.86172840302928011
2018-04-29,346589,-0.75309442856495634
2018-04-30,568648,-0.8600755992635265
2018-05-01,540939,-0.86780265345552876
2018-05-02,619075,-0.88406808381479751
2018-05-03,661418,-0.91325002655512943
2018-05-04,639970,-0.923872139652567
2018-05-05,410568,-1.0263513007133174
2018-05-06,372455,-0.92071714806945115
2018-05-07,600747,-0.78192547576967553
2018-05-08,619039,-0.79878978426475078
2018-05-09,684784,-0.71548733506841733
2018-05-10,671967,-0.75749169887144863
2018-05-11,636233,-0.79647838902048518
2018-05-12,389805,-0.83256872020522177
2018-05-13,379019,-1.0008457474351631
2018-05-14,616895,-0.91730069200666209
2018-05-15,623274,-1.0003634066232703
2018-05-16,701154,-0.88377852756171149
2018-05-17,688521,-0.84355319841286014
2018-05-18,648829,-0.90599092159396555
2018-05-19,409856,-0.504400884625972
2018-05-20,360872,-0.72955008454266357
2018-05-21,590047,-0.72299298802507439
2018-05-22,619900,-0.74729507096999848
2018-05-23,692575,-0.73185867130377069
2018-05-24,706542,-0.82280223113512441
2018-05-25,636806,-0.9077693747021307
2018-05-26,428298,-0.8212453216260468
2018-05-27,401618,-0.70292219305524006
2018-05-28,519568,-0.83982080350991439
2018-05-29,654302,-0.96247597129772122
2018-05-30,671347,-0.97673514592360089
2018-05-31,638553,-0.87130365931722153
2018-06-01,630692,-0.74076711095045134
2018-06-02,410676,-0.86633550495348377
2018-06-03,394716,-0.8233587556045332
2018-06-04,610543,-0.88652025810491919
2018-06-05,659711,-0.77364745175969107
2018-06-06,669154,-0.65420170569284763
2018-06-07,661172,-0.81158117578347078
2018-06-08,569429,-0.7999850988984587
2018-06-09,382197,-0.70922556037795459
2018-06-10,378973,-0.23807129802748078
2018-06-11,650747,-0.51546553343474155
2018-06-12,695243,-0.55206265529603038
2018-06-13,654006,-0.6676194370935582
2018-06-14,689406,-0.62810200301891528
2018-06-15,611141,-0.73596850097483146
2018-06-16,387742,-0.848009795566783
2018-06-17,353006,-0.92574825474140909
2018-06-18,576307,-1.0414810245394213
2018-06-19,581913,-0.97688412906174227
2018-06-20,674738,-0.91473527945991617
2018-06-21,637672,-0.88424528529721313
2018-06-22,628723,-0.9282117830613883
2018-06-23,399301,-0.96690561361304617
2018-06-24,381564,-0.74507609108103534
2018-06-25,601425,-0.76588743945887827
2018-06-26,648368,-0.85500220366630753
2018-06-27,607284,-0.862216617668989
2018-06-28,621686,-0.85327310800428358
2018-06-29,591719,-0.8989021317482232
2018-06-30,401010,-0.81636177968888568
2018-07-01,358327,-0.8701473107625749
2018-07-02,606879,-0.79964442791941226
2018-07-03,621055,-0.90570635800293509
2018-07-04,609886,-0.97285583106676321
2018-07-05,638967,-0.94146520929817712
2018-07-06,596962,-1.0089026437923407
2018-07-07,402935,-0.97023025284967235
2018-07-08,338303,-0.9781568719475584
2018-07-09,614181,-0.84779583115975576
2018-07-10,639837,-0.71947911958486732
2018-07-11,636095,-0.87795660390651853
2018-07-12,634092,-0.80552737517483575
2018-07-13,621799,-0.9585750518100028
2018-07-14,393912,-1.063670169458045
2018-07-15,260204,-1.0114355348681268
2018-07-16,516652,-0.89691231595149246
2018-07-17,563711,-0.96202009029575519
2018-07-18,597849,-1.0126578416461913
2018-07-19,574004,-1.14765928809985
2018-07-20,561900,-1.169457880836676
2018-07-21,368187,-1.2774569124744881
2018-07-22,329256,-1.1987996301166546
2018-07-23,528145,-1.3209985157277346
2018-07-24,588775,-1.227947219533964
2018-07-25,574671,-1.228635239895093
2018-07-26,617523,-1.1067554885947244
2018-07-27,602676,-1.0165338537714581
2018-07-28,373270,-1.1367677630677111
2018-07-29,344234,-1.15524819239342
2018-07-30,566412,-1.0222739719246148
2018-07-31,605575,-0.9874289606046267
2018-08-01,590971,-0.93424764631511137
2018-08-02,615225,-0.96333324010557064
2018-08-03,589623,-1.0499131260119177
2018-08-04,387212,-1.1069605688813795
2018-08-05,355011,-1.154193510701101
2018-08-06,568084,-1.1545462025113653
2018-08-07,613244,-1.0718330147545125
2018-08-08,624851,-0.99271492846332632
2018-08-09,592748,-1.0782549212859411
2018-08-10,554489,-1.0896644732231182
2018-08-11,374882,-1.3092320029031466
2018-08-12,338948,-1.0845732684090355
2018-08-13,552565,-1.1045045939594362
